area_type,location,size,total_sqft,bath,balcony,price,price_per_sqft
3,385,9,1056.0,2.0,1.0,39.07,0.03699810606060606
2,292,14,2600.0,5.0,3.0,120.0,0.046153846153846156
0,1095,11,1440.0,2.0,3.0,62.0,0.043055555555555555
3,701,11,1521.0,3.0,1.0,95.0,0.062458908612754764
3,663,9,1200.0,2.0,1.0,51.0,0.0425
3,1163,9,1170.0,2.0,1.0,38.0,0.03247863247863248
3,832,13,2732.0,4.0,2.0,204.0,0.0746705710102489
3,742,11,1310.0,3.0,1.0,63.25,0.048282442748091604
3,1163,11,1800.0,2.0,2.0,70.0,0.03888888888888889
3,59,9,1000.0,2.0,1.0,38.0,0.038
0,431,9,1100.0,2.0,2.0,40.0,0.03636363636363636
2,961,12,2250.0,3.0,2.0,148.0,0.06577777777777778
3,776,9,1175.0,2.0,2.0,73.5,0.0625531914893617
3,246,11,1180.0,3.0,2.0,48.0,0.04067796610169491
3,901,11,1540.0,3.0,3.0,60.0,0.03896103896103896
3,731,9,1100.0,2.0,2.0,48.0,0.04363636363636364
0,636,0,600.0,1.0,1.0,15.0,0.025
3,245,11,1755.0,3.0,1.0,122.0,0.06951566951566951
3,217,11,1767.0,3.0,1.0,103.0,0.058290888511601587
3,9,2,510.0,1.0,0.0,25.25,0.049509803921568625
3,732,11,1250.0,3.0,2.0,56.0,0.0448
3,383,9,660.0,1.0,1.0,23.1,0.035
0,1163,11,1610.0,3.0,2.0,81.0,0.05031055900621118
3,916,9,1151.0,2.0,2.0,48.77,0.04237185056472633
3,383,11,1025.0,2.0,1.0,47.0,0.045853658536585365
3,1171,13,2475.0,4.0,0.0,186.0,0.07515151515151515
3,246,11,1075.0,2.0,1.0,35.0,0.03255813953488372
3,476,11,1760.0,2.0,2.0,123.0,0.06988636363636364
3,901,11,1693.0,3.0,3.0,57.39,0.0338984051978736
0,622,11,1925.0,3.0,2.0,125.0,0.06493506493506493
3,614,9,700.0,2.0,1.0,36.0,0.05142857142857143
3,388,9,1070.0,2.0,1.0,45.5,0.04252336448598131
